yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017488P	yourlist:M2018111914483A1C7ED25EE8374758DF3FD545FD017444B	Entry	Entry name	Status	Protein names	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology IDs	Cross-reference (REBASE)	Cross-reference (eggNOG)	Cross-reference (KO)	Cross-reference (OrthoDB)	Cross-reference (Pfam)	Cross-reference (KEGG)	Taxonomic lineage (CLASS)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (ORDER)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SPECIES)	Protein families
arCOG04157		Q9YDP3	Q9YDP3_AERPE	unreviewed	DNA (Cytosine-5-)-methyltransferase	methyltransferase activity [GO:0008168]			methyltransferase activity [GO:0008168]	GO:0008168	4179;	arCOG04157;COG0270;	K00558;	POG093Z03J8;	PF00145;	ape:APE_0872.1;	Thermoprotei	Desulfurococcaceae	Aeropyrum		Desulfurococcales	Crenarchaeota	Aeropyrum pernix	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family
arCOG04157		S0AP84	S0AP84_FERAC	unreviewed	Uncharacterized protein	methyltransferase activity [GO:0008168]			methyltransferase activity [GO:0008168]	GO:0008168	66036;	arCOG04157;COG0270;	K00558;	POG093Z03J8;	PF00145;	fac:FACI_IFERC01G0024;	Thermoplasmata	Ferroplasmaceae	Ferroplasma		Thermoplasmatales	Euryarchaeota	Ferroplasma acidarmanus	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family
arCOG04157		S6CW93	S6CW93_9EURY	unreviewed	DNA-cytosine methyltransferase (EC 2.1.1.37)	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]			DNA (cytosine-5-)-methyltransferase activity [GO:0003886]	GO:0003886	39270;	arCOG04157;COG0270;	K00558;	POG093Z03J8;	PF00145;	hti:HTIA_p3010;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family
arCOG04157		S6D180	S6D180_9EURY	unreviewed	Uncharacterized protein							arCOG04157;COG0270;		POG093Z08ZK;		hti:HTIA_0074;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	
arCOG04157		U2DL63	U2DL63_9EURY	unreviewed	DNA-methyltransferase protein (EC 2.1.1.37)	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]			DNA (cytosine-5-)-methyltransferase activity [GO:0003886]	GO:0003886		arCOG04157;COG0270;		POG093Z03J8;	PF00145;		Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	Class I-like SAM-binding methyltransferase superfamily, C5-methyltransferase family
arCOG04157		U2E2W2	U2E2W2_9EURY	unreviewed	Site-specific DNA methylase protein (EC 2.1.1.37)	DNA (cytosine-5-)-methyltransferase activity [GO:0003886]			DNA (cytosine-5-)-methyltransferase activity [GO:0003886]	GO:0003886		arCOG04157;COG0270;		POG093Z08ZK;	PF00145;		Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	
arCOG04588		A0A384K988	A0A384K988_HALVD	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;				hvo:HVO_1388;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG04588		B9LUV8	B9LUV8_HALLT	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hla:Hlac_0836;	Halobacteria	Halorubraceae	Halorubrum		Haloferacales	Euryarchaeota	Halorubrum lacusprofundi	
arCOG04588		B9LVP4	B9LVP4_HALLT	unreviewed	Type III restriction protein res subunit	ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]			ATP binding [GO:0005524]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]	GO:0003677; GO:0005524; GO:0016787		arCOG00803;arCOG00874;arCOG04588;COG1112;		POG093Z000I;	PF13195;PF00271;PF04851;	hla:Hlac_3225;	Halobacteria	Halorubraceae	Halorubrum		Haloferacales	Euryarchaeota	Halorubrum lacusprofundi	
arCOG04588		C7NUF9	C7NUF9_HALUD	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hut:Huta_0873;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus utahensis	
arCOG04588		C7P1T2	C7P1T2_HALMD	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hmu:Hmuk_3067;	Halobacteria	Haloarculaceae	Halomicrobium		Halobacteriales	Euryarchaeota	Halomicrobium mukohataei	
arCOG04588		D2RQ13	D2RQ13_HALTV	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		htu:Htur_1384;	Halobacteria	Natrialbaceae	Haloterrigena		Natrialbales	Euryarchaeota	Haloterrigena turkmenica	
arCOG04588		D3SZQ1	D3SZQ1_NATMM	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		nmg:Nmag_2755;	Halobacteria	Natrialbaceae	Natrialba		Natrialbales	Euryarchaeota	Natrialba magadii	
arCOG04588		D4GXV3	D4GXV3_HALVD	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hvo:HVO_1388;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG04588		D8J8B5	D8J8B5_HALJB	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hje:HacjB3_13900;	Halobacteria	Halobacteriaceae	Halalkalicoccus		Halobacteriales	Euryarchaeota	Halalkalicoccus jeotgali	
arCOG04588		E4NN02	E4NN02_HALBP	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hbo:Hbor_18470;	Halobacteria	Haloferacaceae	Halogeometricum		Haloferacales	Euryarchaeota	Halogeometricum borinquense	
arCOG04588		E7QT98	E7QT98_9EURY	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;			Halobacteria	Halobacteriaceae	Haladaptatus		Halobacteriales	Euryarchaeota	Haladaptatus paucihalophilus	
arCOG04588		F7PMA8	F7PMA8_9EURY	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hti:HTIA_0734;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	
arCOG04588		F8DBL3	F8DBL3_HALXS	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hxa:Halxa_3672;	Halobacteria	Natrialbaceae	Halopiger		Natrialbales	Euryarchaeota	Halopiger xanaduensis	
arCOG04588		G0HQ13	G0HQ13_HALHT	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hhi:HAH_1318;	Halobacteria	Haloarculaceae	Haloarcula		Halobacteriales	Euryarchaeota	Haloarcula hispanica	
arCOG04588		G2MGC0	G2MGC0_9EURY	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hah:Halar_2346;	Halobacteria				Haloferacales	Euryarchaeota	halophilic archaeon DL31	
arCOG04588		Q18HM4	Q18HM4_HALWD	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hwa:HQ_2393A;	Halobacteria	Haloferacaceae	Haloquadratum		Haloferacales	Euryarchaeota	Haloquadratum walsbyi	
arCOG04588		Q5V484	Q5V484_HALMA	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hma:rrnAC0664;	Halobacteria	Haloarculaceae	Haloarcula		Halobacteriales	Euryarchaeota	Haloarcula marismortui	
arCOG04588		Q9HS31	Q9HS31_HALSA	unreviewed	Uncharacterized protein							arCOG04588;ENOG410YIA1;		POG093Z0DJK;		hal:VNG_0429H;	Halobacteria	Halobacteriaceae	Halobacterium		Halobacteriales	Euryarchaeota	Halobacterium salinarum (Halobacterium halobium)	
arCOG04588		S6D489	S6D489_9EURY	unreviewed	von Willebrand factor type A domain protein							arCOG02900;arCOG04588;COG2304;	K07114;	POG093Z02ZJ;	PF00092;	hti:HTIA_p2803;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus tiamatea	
arCOG04814		A6URT5	A6URT5_METVS	unreviewed	N-6 DNA methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	15413;	arCOG04814;COG1002;		POG093Z00WU;	PF02384;	mvn:Mevan_1310;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus vannielii	
arCOG04814		C7NQX6	C7NQX6_HALUD	unreviewed	Restriction/modification enzyme	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	21690;	arCOG04814;COG1002;		POG093Z001Q;	PF02384;	hut:Huta_1707;	Halobacteria	Haloarculaceae	Halorhabdus		Halobacteriales	Euryarchaeota	Halorhabdus utahensis	
arCOG04814		C9RHN2	C9RHN2_METVM	unreviewed	Uncharacterized protein	DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]	GO:0003677; GO:0006304; GO:0008168	22192;	arCOG04814;COG1002;		POG093Z06CG;	PF07669;PF12950;	mvu:Metvu_1227;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus vulcanius	
arCOG02635,arCOG03521,arCOG04814		E7QPN3	E7QPN3_9EURY	unreviewed	Uncharacterized protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170		arCOG02635;arCOG03521;arCOG04814;COG1002;		POG093Z06CG;	PF02384;PF12950;		Halobacteria	Halobacteriaceae	Haladaptatus		Halobacteriales	Euryarchaeota	Haladaptatus paucihalophilus	
arCOG02632,arCOG04814		F4BZT4	F4BZT4_METSG	unreviewed	Uncharacterized protein	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	34687;	arCOG02632;arCOG04814;COG1002;		POG093Z001Q;		mcj:MCON_2672;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	
arCOG02632,arCOG04814		G0HLH9	G0HLH9_THES4	unreviewed	Uncharacterized protein	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]			methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0008168	38310;	arCOG02632;arCOG04814;COG1002;		POG093Z06CG;		the:GQS_07780;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sp. (strain CGMCC 1.5172 / 4557)	
arCOG04814		G7WNL6	G7WNL6_METH6	unreviewed	Uncharacterized protein						41510;	arCOG04814;COG1002;		POG093Z001Q;		mhi:Mhar_0614;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanosaeta harundinacea	
arCOG02635,arCOG04814		Q12U44	Q12U44_METBU	unreviewed	Protein with adenine-specific DNA methyltransferase domains	DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]; DNA modification [GO:0006304]	DNA modification [GO:0006304]		DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]	GO:0003677; GO:0006304; GO:0008168	80667;	arCOG02635;arCOG04814;COG1002;		POG093Z06CG;	PF07669;PF12950;	mbu:Mbur_2163;	Methanomicrobia	Methanosarcinaceae	Methanococcoides		Methanosarcinales	Euryarchaeota	Methanococcoides burtonii	
arCOG04814		Q18F86	Q18F86_HALWD	unreviewed	Probable restriction/modification enzyme (EC 2.1.1.-) (EC 3.1.21.-)	DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170; GO:0016787	13224;	arCOG04814;COG1002;		POG093Z001Q;	PF02384;	hwa:HQ_3275A;	Halobacteria	Haloferacaceae	Haloquadratum		Haloferacales	Euryarchaeota	Haloquadratum walsbyi	
arCOG04814		Q9HIK3	Q9HIK3_THEAC	unreviewed	Type IV site-specific deoxyribonuclease Eco57I related protein	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	7468;	arCOG04814;COG1002;		POG093Z00WU;	PF02384;	tac:Ta1336;	Thermoplasmata	Thermoplasmataceae	Thermoplasma		Thermoplasmatales	Euryarchaeota	Thermoplasma acidophilum	
arCOG05223		A0A384KNE8	A0A384KNE8_HALVD	unreviewed	Uncharacterized protein	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]			endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004519		arCOG05223;COG1479;			PF03235;PF01844;	hvo:HVO_2256;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG05223		A4FXL0	A4FXL0_METM5	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z0GXZ;		mmq:MmarC5_0632;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	
arCOG05223		A6UTJ8	A6UTJ8_META3	unreviewed	Uncharacterized protein							arCOG05223;COG1479;COG3472;		POG093Z00U6;	PF03235;	mae:Maeo_0228;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus aeolicus	
arCOG05223		B7R148	B7R148_9EURY	unreviewed	Uncharacterized protein							arCOG05223;arCOG07964;COG1479;		POG093Z0GXZ;	PF03235;PF13395;	tha:TAM4_461;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sp. AM4	
arCOG05223		B8GHR1	B8GHR1_METPE	unreviewed	Uncharacterized protein							arCOG05223;arCOG07683;COG1479;		POG093Z00XS;	PF07510;PF03235;	mpl:Mpal_1333;	Methanomicrobia	Methanoregulaceae	Methanosphaerula		Methanomicrobiales	Euryarchaeota	Methanosphaerula palustris	
arCOG05223		B8GHW3	B8GHW3_METPE	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00XS;	PF07510;PF03235;	mpl:Mpal_1372;	Methanomicrobia	Methanoregulaceae	Methanosphaerula		Methanomicrobiales	Euryarchaeota	Methanosphaerula palustris	
arCOG05223		D4GVX2	D4GVX2_HALVD	unreviewed	DUF262 family protein	endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]			endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]	GO:0003676; GO:0004519		arCOG05223;COG1479;		POG093Z0GXZ;	PF03235;PF01844;	hvo:HVO_2256;	Halobacteria	Haloferacaceae	Haloferax		Haloferacales	Euryarchaeota	Haloferax volcanii (Halobacterium volcanii)	
arCOG05223		D7DQR0	D7DQR0_METV3	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00XS;	PF07510;PF03235;	mvo:Mvol_1532;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus voltae	
arCOG05223		D7E7K9	D7E7K9_METEZ	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00XS;	PF07510;PF03235;	mev:Metev_1207;	Methanomicrobia	Methanosarcinaceae	Methanohalobium		Methanosarcinales	Euryarchaeota	Methanohalobium evestigatum	
arCOG05223		E1RFD2	E1RFD2_METP4	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00XS;	PF07510;PF03235;	mpi:Mpet_0304;	Methanomicrobia	Methanomicrobiaceae	Methanolacinia		Methanomicrobiales	Euryarchaeota	Methanolacinia petrolearia	
arCOG05223		F4BTW4	F4BTW4_METSG	unreviewed	Uncharacterized protein							arCOG05223;arCOG09558;COG1479;COG3586;		POG093Z00XS;	PF07510;PF03235;	mcj:MCON_0083;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanothrix soehngenii (Methanosaeta concilii)	
arCOG05223		F7XKK3	F7XKK3_METZD	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z03Y0;	PF07510;PF03235;	mzh:Mzhil_0741;	Methanomicrobia	Methanosarcinaceae	Methanosalsum		Methanosarcinales	Euryarchaeota	Methanosalsum zhilinae	
arCOG05223		G2MI78	G2MI78_9EURY	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00N5;	PF07510;PF03235;	hah:Halar_3604;	Halobacteria				Haloferacales	Euryarchaeota	halophilic archaeon DL31	
arCOG05223		G7WKL6	G7WKL6_METH6	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z03Y0;	PF07510;PF03235;	mhi:Mhar_0102;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanosaeta harundinacea	
arCOG05223		G7WMX1	G7WMX1_METH6	unreviewed	Uncharacterized protein							arCOG05223;COG1479;COG3472;		POG093Z00U6;	PF03235;	mhi:Mhar_1168;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanosaeta harundinacea	
arCOG05223		O57771	O57771_PYRHO	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z0GXZ;	PF03235;PF14279;	pho:PH0009;	Thermococci	Thermococcaceae	Pyrococcus		Thermococcales	Euryarchaeota	Pyrococcus horikoshii	
arCOG05223		Q2FKU3	Q2FKU3_METHJ	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00XS;	PF07510;PF03235;	mhu:Mhun_1806;	Methanomicrobia	Methanospirillaceae	Methanospirillum		Methanomicrobiales	Euryarchaeota	Methanospirillum hungatei	
arCOG05223		Q2FRZ7	Q2FRZ7_METHJ	unreviewed	Uncharacterized protein							arCOG05223;ENOG4102TRK;COG1479;COG3472;		POG093Z00U6;	PF03235;	mhu:Mhun_2961;	Methanomicrobia	Methanospirillaceae	Methanospirillum		Methanomicrobiales	Euryarchaeota	Methanospirillum hungatei	
arCOG05223	Y686_METJA	Q58099	Y686_METJA	reviewed	Uncharacterized protein MJ0686							arCOG05223;COG1479;COG3472;		POG093Z00U6;	PF03235;	mja:MJ_0686;	Methanococci	Methanocaldococcaceae	Methanocaldococcus		Methanococcales	Euryarchaeota	Methanocaldococcus jannaschii	
arCOG05223		Q6L2Z2	Q6L2Z2_PICTO	unreviewed	Uncharacterized protein							arCOG05223;COG1479;				pto:PTO0074;	Thermoplasmata	Picrophilaceae	Picrophilus		Thermoplasmatales	Euryarchaeota	Picrophilus torridus	
arCOG05223		Q8PTZ8	Q8PTZ8_METMA	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z0GXZ;	PF03235;	mma:MM_2559;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG05223		Q8TN76	Q8TN76_METAC	unreviewed	Uncharacterized protein							arCOG05223;COG1479;COG3586;		POG093Z00XS;	PF07510;PF03235;	mac:MA_2417;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina acetivorans	
arCOG05223		Q9HPK8	Q9HPK8_HALSA	unreviewed	Uncharacterized protein							arCOG05223;COG1479;		POG093Z00N5;	PF07510;	hal:VNG_1585C;	Halobacteria	Halobacteriaceae	Halobacterium		Halobacteriales	Euryarchaeota	Halobacterium salinarum (Halobacterium halobium)	
arCOG02632,arCOG05282		A2SRQ6	A2SRQ6_METLZ	unreviewed	N-6 DNA methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	14706;	arCOG02632;arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mla:Mlab_0841;	Methanomicrobia	Methanocorpusculaceae	Methanocorpusculum		Methanomicrobiales	Euryarchaeota	Methanocorpusculum labreanum	
arCOG05282		A4FXL9	A4FXL9_METM5	unreviewed	N-6 DNA methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	15011;	arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mmq:MmarC5_0641;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus maripaludis (Methanococcus deltae)	
arCOG02632,arCOG05282		D7DSR4	D7DSR4_METV3	unreviewed	N-6 DNA methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	26513;	arCOG02632;arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mvo:Mvol_0514;	Methanococci	Methanococcaceae	Methanococcus		Methanococcales	Euryarchaeota	Methanococcus voltae	
arCOG02632,arCOG05282		D7E836	D7E836_METEZ	unreviewed	N-6 DNA methylase	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	26597;	arCOG02632;arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mev:Metev_0463;	Methanomicrobia	Methanosarcinaceae	Methanohalobium		Methanosarcinales	Euryarchaeota	Methanohalobium evestigatum	
arCOG05282		G7WPL5	G7WPL5_METH6	unreviewed	Type I restriction-modification system specificity subunit	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	41503;	arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mhi:Mhar_1859;	Methanomicrobia	Methanosaetaceae	Methanothrix		Methanosarcinales	Euryarchaeota	Methanosaeta harundinacea	
arCOG02632,arCOG05282		Q46DQ8	Q46DQ8_METBF	unreviewed	Type I restriction-modification system methyltransferase subunit	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	11270;	arCOG02632;arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mba:Mbar_A1016;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina barkeri	
arCOG05282		Q8PSU5	Q8PSU5_METMA	unreviewed	Type I restriction-modification system specificity subunit	DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]; DNA methylation [GO:0006306]	DNA methylation [GO:0006306]		DNA binding [GO:0003677]; N-methyltransferase activity [GO:0008170]	GO:0003677; GO:0006306; GO:0008170	6280;	arCOG05282;COG0286;	K03427;	POG093Z00HQ;	PF12161;PF02384;	mma:MM_2981;	Methanomicrobia	Methanosarcinaceae	Methanosarcina		Methanosarcinales	Euryarchaeota	Methanosarcina mazei (Methanosarcina frisia)	
arCOG05724		A3DKN1	A3DKN1_STAMF	unreviewed	Uncharacterized protein							arCOG05724;COG2810;		POG093Z0AHG;		smr:Smar_0078;	Thermoprotei	Desulfurococcaceae	Staphylothermus		Desulfurococcales	Crenarchaeota	Staphylothermus marinus	
arCOG05724		B6YVE7	B6YVE7_THEON	unreviewed	Hypothetical restriction endonuclease	endonuclease activity [GO:0004519]			endonuclease activity [GO:0004519]	GO:0004519		arCOG05724;COG2810;	K07504;	POG093Z07Q5;	PF13588;	ton:TON_0737;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus onnurineus	
arCOG05724		B7QZZ0	B7QZZ0_9EURY	unreviewed	Type I restriction enzyme R protein N terminal domain protein							arCOG05724;COG2810;	K07504;	POG093Z07Q5;	PF13588;	tha:TAM4_871;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sp. AM4	
arCOG05724		C5A4R0	C5A4R0_THEGJ	unreviewed	Type I restriction endonuclease, putative	endonuclease activity [GO:0004519]			endonuclease activity [GO:0004519]	GO:0004519		arCOG05724;COG2810;	K07504;	POG093Z07Q5;	PF13588;	tga:TGAM_0720;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus gammatolerans	
arCOG05724		C6A283	C6A283_THESM	unreviewed	Predicted restriction endonuclease	endonuclease activity [GO:0004519]			endonuclease activity [GO:0004519]	GO:0004519		arCOG05724;COG2810;	K07504;	POG093Z07Q5;	PF13588;	tsi:TSIB_0663;	Thermococci	Thermococcaceae	Thermococcus		Thermococcales	Euryarchaeota	Thermococcus sibiricus	
arCOG05724		D2RYE6	D2RYE6_HALTV	unreviewed	Uncharacterized protein							arCOG05724;COG2810;		POG093Z054L;		htu:Htur_0953;	Halobacteria	Natrialbaceae	Haloterrigena		Natrialbales	Euryarchaeota	Haloterrigena turkmenica	
arCOG05724		D3SRS2	D3SRS2_NATMM	unreviewed	Uncharacterized protein							arCOG05724;COG2810;		POG093Z054L;		nmg:Nmag_3144;	Halobacteria	Natrialbaceae	Natrialba		Natrialbales	Euryarchaeota	Natrialba magadii	
arCOG05724		D7DCG1	D7DCG1_STAHD	unreviewed	Uncharacterized protein							arCOG05724;COG2810;		POG093Z0AHG;		shc:Shell_0740;	Thermoprotei	Desulfurococcaceae	Staphylothermus		Desulfurococcales	Crenarchaeota	Staphylothermus hellenicus	
arCOG05724		E4NKW9	E4NKW9_HALBP	unreviewed	Uncharacterized conserved protein							arCOG04669;arCOG05724;COG4748;	K07504;	POG093Z069Z;	PF13588;	hbo:Hbor_15510;	Halobacteria	Haloferacaceae	Halogeometricum		Haloferacales	Euryarchaeota	Halogeometricum borinquense	
